idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
100,100.000000000,map3d,camera,0.051657975,-0.015573649,1.924230933,0.005312657786,0.761741245186,0.002506805835,0.647854742187,3.071049565335,000100,70.629362549
101,101.000000000,map3d,camera,0.056771725,-0.011023348,1.928113699,0.006414519953,0.762575259407,0.002428008678,0.646863148160,3.062494107493,000101,71.335656175
102,102.000000000,map3d,camera,0.134884447,-0.006844624,1.905054212,0.004498664914,0.753838658317,0.002391913975,0.657039814614,3.069034790891,000102,72.041949800
103,103.000000000,map3d,camera,0.185279548,-0.012531992,1.924746990,0.005563522760,0.815566197538,0.002278639854,0.578632553913,3.106150067790,000103,72.748243426
104,104.000000000,map3d,camera,0.295996696,-0.000589445,1.846489668,0.002015572239,0.879025983172,0.002077295891,0.476765081795,3.131463870042,000104,73.454537051
105,105.000000000,map3d,camera,0.282028675,0.000980102,1.849364519,0.007116625767,0.895739634567,0.003064226403,0.444511497286,3.116010339897,000105,74.160830677
106,106.000000000,map3d,camera,0.280393809,0.005155222,1.855584145,0.006512678427,0.896470007271,0.001947596460,0.443052274514,3.119527941916,000106,74.867124302
107,107.000000000,map3d,camera,0.310526788,0.000256257,1.909094810,0.002620098964,0.927737590034,0.006570015920,0.373166094401,3.128058887833,000107,75.573417928
108,108.000000000,map3d,camera,0.267896086,0.011163669,1.928187728,0.002346663131,0.927068299095,0.002194716694,0.374878707323,3.133251819315,000108,76.279711553
109,109.000000000,map3d,camera,0.271814376,0.009242108,1.929812551,0.002455341176,0.926965122997,0.002296401964,0.375132454722,3.132859961831,000109,76.986005179
110,110.000000000,map3d,camera,0.295627534,0.006841062,1.900516272,0.004769249120,0.948113119158,0.004158917943,0.317870210849,3.126945268970,000110,77.692298804
111,111.000000000,map3d,camera,0.292377263,0.002927663,1.898535967,0.005429397396,0.948560834784,0.005742235708,0.316496273418,3.124166956522,000111,78.398592430
112,112.000000000,map3d,camera,0.320875227,0.002568670,1.907903790,0.001987658192,0.952691681022,0.004246536171,0.303902249180,3.133781602951,000112,79.104886055
113,113.000000000,map3d,camera,0.358476639,0.002020813,1.909464121,0.003320918273,0.973865866770,0.008407901632,0.226943940728,3.130127340031,000113,79.811179680
114,114.000000000,map3d,camera,0.356339693,0.003974898,1.919406414,0.003887942949,0.974332853327,0.006568579381,0.224982729544,3.129874572923,000114,80.517473306
115,115.000000000,map3d,camera,0.420694411,0.004966490,1.865466952,0.000612514725,0.998856103063,0.008931193063,0.046971736079,3.139520857367,000115,81.223766931
116,116.000000000,map3d,camera,0.429005921,-0.001583491,1.845590949,0.005488994169,0.999190412345,0.007660389585,0.039111497695,3.129988652788,000116,81.930060557
117,117.000000000,map3d,camera,0.433521837,0.000296405,1.814961672,0.005751064473,0.998390062379,0.008147939848,0.055837439739,3.129121172071,000117,82.636354182
118,118.000000000,map3d,camera,0.421352625,0.008607347,1.704785943,0.007315082813,0.985209313609,0.006412179982,0.171078876221,3.123952130911,000118,83.342647808
119,119.000000000,map3d,camera,0.424410999,0.007834483,1.663102865,0.003854240112,0.980993162829,0.005477285053,0.193926683733,3.131118534693,000119,84.048941433
120,120.000000000,map3d,camera,0.423862100,0.007357672,1.642796516,0.002887565519,0.981768872963,0.005478787538,0.189977695886,3.133238098603,000120,84.755235059
121,121.000000000,map3d,camera,0.450878680,0.007365970,1.602383852,0.003024729189,0.987937800244,0.004584133955,0.154753803112,3.133825311135,000121,85.461528684
122,122.000000000,map3d,camera,0.483083606,0.008807369,1.531536341,0.002477259389,0.997447984483,0.005002545822,0.071178339200,3.135880747296,000122,86.167822310
123,123.000000000,map3d,camera,0.481699824,0.013383633,1.483048081,0.004063206928,0.999612238003,0.004770097893,0.027131349961,3.133198113556,000123,86.874115935
124,124.000000000,map3d,camera,0.510295212,0.013358391,1.407215118,0.003663530345,0.999180847460,0.006697442188,-0.039741123327,3.134782332925,000124,87.580409561
125,125.000000000,map3d,camera,0.514793873,0.011776225,1.369535685,0.002709984311,0.994466264003,0.007879475998,-0.104725448687,3.137769134756,000125,88.286703186
126,126.000000000,map3d,camera,0.510254502,0.019722532,1.299486876,0.003320978669,0.985361640282,0.008955434888,-0.170209309812,3.137881416535,000126,88.992996812
127,127.000000000,map3d,camera,0.506667376,0.010118226,1.261166334,0.001711399638,0.971658025195,0.010128715392,-0.236167657206,-3.139951178635,000127,89.699290437
128,128.000000000,map3d,camera,0.468497425,0.014883107,1.159594417,0.001458305736,0.939756759902,0.010177630781,-0.341689217556,-3.136094590055,000128,90.405584063
129,129.000000000,map3d,camera,0.448151767,0.015894745,1.125523567,0.001532585898,0.932873905687,0.009478026135,-0.360075123118,-3.136237968611,000129,91.111877688
130,130.000000000,map3d,camera,0.411854208,0.010141519,1.087342978,0.002950870902,0.927529486611,0.011041858958,-0.373575188121,-3.137741900744,000130,91.818171314
131,131.000000000,map3d,camera,0.391815931,0.014745468,1.076101065,0.002396373855,0.924544316316,0.009477310790,-0.380949137209,-3.137662187646,000131,92.524464939
132,132.000000000,map3d,camera,0.360633492,0.013382389,1.019863725,0.002779206069,0.919540461986,0.009490660960,-0.392870897546,-3.138198973782,000132,93.230758565
133,133.000000000,map3d,camera,0.332189590,0.016133018,1.005894661,0.002556351641,0.918234823992,0.008606164125,-0.395934599415,-3.138503920184,000133,93.937052190
134,134.000000000,map3d,camera,0.306503832,0.017577348,0.979119956,0.001421576835,0.913761830429,0.008532973193,-0.406158201615,-3.135125466804,000134,94.643345816
135,135.000000000,map3d,camera,0.250853151,0.014578257,0.919773102,0.003195426137,0.905293852809,0.008049570365,-0.424697579148,-3.139947481053,000135,95.349639441
136,136.000000000,map3d,camera,0.180189341,0.018059170,0.854062080,0.004037555362,0.878631970800,0.007237565681,-0.477427665388,3.141254067620,000136,96.055933067
137,137.000000000,map3d,camera,0.150177002,0.016916338,0.838563800,0.004628842566,0.860759890459,0.008231980514,-0.508923588853,-3.140741417174,000137,96.762226692
138,138.000000000,map3d,camera,0.133610278,0.018772043,0.830708742,0.002728060514,0.851794609099,0.008829912554,-0.523794362550,-3.131393607604,000138,97.468520318
139,139.000000000,map3d,camera,0.054496080,0.023112889,0.785401225,-0.000956898460,0.805389383210,0.010413175825,-0.592653854730,-3.094960300059,000139,98.174813943
