idx,stamp,x,y,yaw_rad
174,1781699097636.0,1.267675,-0.071603,-0.22313839200000007
175,1781699097703.0,1.267675,-0.071603,-0.22313839200000007
176,1781699097769.0,1.270544,-0.072446,-0.2154515520000002
177,1781699097836.0,1.270544,-0.072446,-0.2154515520000002
178,1781699097938.0,1.270983,-0.072546,-0.21461725599999992
179,1781699098043.0,1.270952,-0.072539,-0.21453791300000002
180,1781699098112.0,1.270952,-0.072539,-0.21453791300000002
181,1781699098175.0,1.270952,-0.072539,-0.21453791300000002
182,1781699098240.0,1.270952,-0.072539,-0.21453791300000002
183,1781699098307.0,1.270952,-0.072539,-0.21453791300000002
184,1781699098373.0,1.270952,-0.072539,-0.21453791300000002
185,1781699098441.0,1.271435,-0.072646,-0.23421841399999987
186,1781699098508.0,1.271435,-0.072646,-0.23421841399999987
187,1781699098575.0,1.281283,-0.075085,-0.262367357
188,1781699098677.0,1.286322,-0.072967,-0.2819422220000001
189,1781699098783.0,1.286678,-0.072893,-0.272479063
190,1781699098878.0,1.288609,-0.073427,-0.27262934800000016
191,1781699099000.0,1.288609,-0.073427,-0.27262934800000016
192,1781699099054.0,1.288981,-0.073535,-0.27179518400000013
193,1781699099115.0,1.288981,-0.073535,-0.27179518400000013
194,1781699099180.0,1.288981,-0.073535,-0.27179518400000013
195,1781699099248.0,1.288981,-0.073535,-0.27179518400000013
196,1781699099315.0,1.289194,-0.073594,-0.28055365499999985
197,1781699099382.0,1.289194,-0.073594,-0.28055365499999985
198,1781699099450.0,1.296464,-0.075866,-0.32118812499999994
199,1781699099517.0,1.303858,-0.078431,-0.3529937150000002
200,1781699099585.0,1.307419,-0.081211,-0.4007837489999999
201,1781699099658.0,1.307419,-0.081211,-0.4007837489999999
202,1781699099728.0,1.287103,-0.078554,-0.4491446400000001
203,1781699099788.0,1.281606,-0.078378,-0.45931950599999993
204,1781699099853.0,1.281606,-0.078378,-0.45931950599999993
205,1781699099921.0,1.283198,-0.079161,-0.4570836800000002
206,1781699099988.0,1.283198,-0.079161,-0.4570836800000002
207,1781699100062.0,1.312851,-0.083026,-0.434465259
208,1781699100156.0,1.312851,-0.083026,-0.434465259
209,1781699100275.0,1.312686,-0.08295,-0.4343751920000001
210,1781699100358.0,1.312686,-0.08295,-0.4343751920000001
211,1781699100464.0,1.317769,-0.085409,-0.46268746500000013
212,1781699100534.0,1.317769,-0.085409,-0.46268746500000013
213,1781699100601.0,1.324091,-0.088688,-0.491583173
214,1781699100665.0,1.324091,-0.088688,-0.491583173
215,1781699100726.0,1.324855,-0.089128,-0.4890047719999999
216,1781699100800.0,1.325408,-0.090688,-0.48940210800000017
217,1781699100894.0,1.325729,-0.091857,-0.4880584259999998
218,1781699101000.0,1.325294,-0.091628,-0.4876252729999999
219,1781699101097.0,1.325076,-0.091512,-0.4877617860000001
220,1781699101203.0,1.326081,-0.092051,-0.5106924259999999
221,1781699101271.0,1.326081,-0.092051,-0.5106924259999999
222,1781699101333.0,1.329095,-0.093778,-0.531938512
223,1781699101399.0,1.329095,-0.093778,-0.531938512
224,1781699101468.0,1.340485,-0.1008,-0.5896661139999999
225,1781699101532.0,1.344287,-0.103455,-0.6216294489999998
226,1781699101600.0,1.344287,-0.103455,-0.6216294489999998
227,1781699101670.0,1.345298,-0.106657,-0.6794438490000001
228,1781699101735.0,1.347483,-0.107124,-0.704021826
229,1781699101801.0,1.347483,-0.107124,-0.704021826
230,1781699101868.0,1.350162,-0.109227,-0.6990869200000001
231,1781699101935.0,1.350704,-0.109684,-0.6989109129999997
232,1781699102038.0,1.352318,-0.108879,-0.6920594480000002
233,1781699102171.0,1.352318,-0.108879,-0.6920594480000002
234,1781699102285.0,1.352258,-0.108829,-0.6922644550000001
235,1781699102347.0,1.352258,-0.108829,-0.6922644550000001
236,1781699102407.0,1.352258,-0.108829,-0.6922644550000001
237,1781699102473.0,1.352392,-0.108936,-0.6985970159999999
238,1781699102574.0,1.360715,-0.116239,-0.7482163269999997
239,1781699102680.0,1.360715,-0.116239,-0.7482163269999997
240,1781699102776.0,1.361952,-0.117467,-0.771191103
241,1781699102900.0,1.367568,-0.126567,-0.7751111079999999
242,1781699102978.0,1.367546,-0.12656,-0.775400629
243,1781699103112.0,1.367546,-0.12656,-0.775400629
244,1781699103225.0,1.367554,-0.126568,-0.7887312180000001
245,1781699103292.0,1.367554,-0.126568,-0.7887312180000001
246,1781699103348.0,1.369369,-0.128408,-0.8083516959999999
247,1781699103422.0,1.376001,-0.135567,-0.8488363689999998
248,1781699103514.0,1.376021,-0.135635,-0.8569674369999998
249,1781699103634.0,1.375552,-0.134373,-0.847466614
250,1781699103697.0,1.375552,-0.134373,-0.847466614
251,1781699103784.0,1.376847,-0.135838,-0.8464181900000001
252,1781699103920.0,1.376561,-0.13552,-0.8468728759999999
253,1781699104053.0,1.376534,-0.135488,-0.8470241359999999
254,1781699104180.0,1.376534,-0.135488,-0.8470241359999999
255,1781699104254.0,1.376534,-0.135488,-0.8470241359999999
256,1781699104457.0,1.376534,-0.135488,-0.8470241359999999
257,1781699104658.0,1.385226,-0.145577,-0.86308534
258,1781699104789.0,1.385226,-0.145577,-0.86308534
259,1781699106005.0,1.477112,-0.31804,-0.9254488209999998
260,1781699106879.0,1.627464,-0.450102,-0.718200806
261,1781699107008.0,1.619632,-0.461663,-0.647215847
262,1781699107077.0,1.627375,-0.467434,-0.6376492969999998
263,1781699107187.0,1.627375,-0.467434,-0.6376492969999998
264,1781699107250.0,1.641975,-0.475467,-0.6190789739999998
265,1781699107314.0,1.647276,-0.479187,-0.6107015709999999
266,1781699107379.0,1.647276,-0.479187,-0.6107015709999999
267,1781699107445.0,1.655432,-0.485105,-0.6442029659999999
268,1781699107513.0,1.662805,-0.490655,-0.6468526300000002
269,1781699107613.0,1.674443,-0.49951,-0.6560573239999998
270,1781699107719.0,1.687787,-0.510055,-0.6872937349999999
271,1781699107787.0,1.695893,-0.526122,-0.7572641620000002
272,1781699107851.0,1.695893,-0.526122,-0.7572641620000002
273,1781699107949.0,1.701828,-0.532159,-0.8024386899999998
274,1781699108055.0,1.707689,-0.538517,-0.8527535560000001
275,1781699108151.0,1.713463,-0.550418,-0.9604695630000002
276,1781699108258.0,1.719236,-0.565495,-1.0732350630000003
277,1781699108353.0,1.729437,-0.585306,-1.174999125
278,1781699108462.0,1.762207,-0.616452,-1.262825004
279,1781699108527.0,1.762207,-0.616452,-1.262825004
280,1781699108589.0,1.774819,-0.628243,-1.288068644
281,1781699108655.0,1.739312,-0.627671,-1.326517164
282,1781699108723.0,1.739312,-0.627671,-1.326517164
283,1781699108789.0,1.747108,-0.651167,-1.411360331
284,1781699108857.0,1.747108,-0.651167,-1.411360331
285,1781699108923.0,1.75137,-0.680023,-1.49872667
286,1781699108990.0,1.751541,-0.681872,-1.504836055
287,1781699109058.0,1.751541,-0.681872,-1.504836055
288,1781699109125.0,1.781353,-0.704676,-1.55723131
289,1781699109200.0,1.781347,-0.705065,-1.557154862
290,1781699109269.0,1.781347,-0.705065,-1.557154862
291,1781699109328.0,1.781347,-0.705065,-1.557154862
292,1781699109401.0,1.781347,-0.705065,-1.557154862
293,1781699109464.0,1.781347,-0.705065,-1.557154862
294,1781699109528.0,1.781347,-0.705065,-1.557154862
295,1781699109629.0,1.781347,-0.705065,-1.557154862
296,1781699109743.0,1.781347,-0.705065,-1.557154862
297,1781699109809.0,1.781347,-0.705065,-1.557154862
298,1781699109867.0,1.781532,-0.708708,-1.527963022
299,1781699109940.0,1.782083,-0.720749,-1.525999547
300,1781699110032.0,1.782714,-0.73408,-1.521032569
301,1781699110138.0,1.783505,-0.748863,-1.512065331
302,1781699110235.0,1.78399,-0.756531,-1.501246856
303,1781699110371.0,1.78399,-0.756531,-1.501246856
304,1781699110497.0,1.785314,-0.764714,-1.518689275
305,1781699110571.0,1.785222,-0.763054,-1.510176774
306,1781699110678.0,1.785582,-0.767498,-1.482155809
307,1781699110774.0,1.786311,-0.775164,-1.467848398
308,1781699110888.0,1.788186,-0.790037,-1.419697007
309,1781699110975.0,1.793332,-0.825505,-1.308536505
310,1781699111082.0,1.793332,-0.825505,-1.308536505
311,1781699111149.0,1.794837,-0.831033,-1.288527476
312,1781699111213.0,1.801717,-0.849,-1.20824409
313,1781699111311.0,1.780366,-0.838746,-1.1339590240000001
314,1781699111425.0,1.785649,-0.838531,-1.0756700290000003
315,1781699111512.0,1.787072,-0.839295,-1.0768778
316,1781699111620.0,1.788881,-0.841029,-1.0786443449999998
317,1781699111686.0,1.788881,-0.841029,-1.0786443449999998
318,1781699111757.0,1.788881,-0.841029,-1.0786443449999998
319,1781699111824.0,1.788881,-0.841029,-1.0786443449999998
320,1781699111881.0,1.788995,-0.84123,-1.0608776559999997
321,1781699111948.0,1.794583,-0.851102,-1.0357113819999997
322,1781699112016.0,1.794583,-0.851102,-1.0357113819999997
323,1781699112082.0,1.801231,-0.861919,-0.99539198
324,1781699112152.0,1.80348,-0.865358,-0.981790878
325,1781699112216.0,1.80348,-0.865358,-0.981790878
326,1781699112285.0,1.81168,-0.874747,-0.9137691619999999
327,1781699112352.0,1.823894,-0.88961,-0.8440260660000001
328,1781699112419.0,1.823894,-0.88961,-0.8440260660000001
329,1781699112493.0,1.835435,-0.901754,-0.7638827909999999
330,1781699112564.0,1.83939,-0.904632,-0.7232752339999999
331,1781699112621.0,1.83939,-0.904632,-0.7232752339999999
332,1781699112696.0,1.841495,-0.906522,-0.7276638549999999
333,1781699112757.0,1.841495,-0.906522,-0.7276638549999999
334,1781699112824.0,1.841289,-0.906332,-0.728587831
335,1781699112899.0,1.841289,-0.906332,-0.728587831
336,1781699112958.0,1.841289,-0.906332,-0.728587831
337,1781699113024.0,1.841026,-0.906105,-0.728879208
338,1781699113099.0,1.841026,-0.906105,-0.728879208
339,1781699113191.0,1.841026,-0.906105,-0.728879208
340,1781699113297.0,1.841026,-0.906105,-0.728879208
341,1781699113394.0,1.84282,-0.907689,-0.7070377720000001
342,1781699113528.0,1.856901,-0.919327,-0.6681879340000001
343,1781699113641.0,1.862911,-0.924087,-0.6683668360000001
344,1781699113702.0,1.862911,-0.924087,-0.6683668360000001
345,1781699113763.0,1.886524,-0.940625,-0.6054042829999999
346,1781699113839.0,1.900512,-0.950019,-0.5758682730000002
347,1781699113898.0,1.900512,-0.950019,-0.5758682730000002
348,1781699113964.0,1.924106,-0.959946,-0.5441103489999999
349,1781699114030.0,1.941731,-0.970505,-0.5368364420000002
350,1781699114199.0,1.943758,-0.971708,-0.536440781
351,1781699114334.0,1.969563,-0.984428,-0.543732774
352,1781699114468.0,2.000881,-1.004422,-0.6042427579999998
353,1781699114593.0,2.031373,-1.051125,-0.663597491
354,1781699114669.0,2.035483,-1.057597,-0.6718119680000001
355,1781699114775.0,2.035483,-1.057597,-0.6718119680000001
356,1781699114938.0,2.07449,-1.065819,-0.8478662859999999
357,1781699115412.0,2.096702,-1.126744,-0.9059193720000001
358,1781699115610.0,2.096702,-1.126744,-0.9059193720000001
359,1781699115813.0,2.096702,-1.126744,-0.9059193720000001
360,1781699116014.0,2.104216,-1.135898,-0.8815623820000003
361,1781699116420.0,2.142844,-1.186972,-0.9450344250000002
362,1781699117092.0,2.217493,-1.283447,-0.8577447980000001
363,1781699117221.0,2.23862,-1.309255,-0.8226268819999998
364,1781699117289.0,2.249442,-1.320694,-0.8041401260000001
365,1781699117402.0,2.268199,-1.335509,-0.8126731089999999
366,1781699117471.0,2.268199,-1.335509,-0.8126731089999999
367,1781699117533.0,2.284647,-1.353725,-0.8476580249999999
368,1781699117625.0,2.295521,-1.365938,-0.837797159
369,1781699117733.0,2.295687,-1.366113,-0.8357853359999998
370,1781699117802.0,2.295687,-1.366113,-0.8357853359999998
371,1781699117862.0,2.295746,-1.368828,-0.8310371600000002
372,1781699117928.0,2.296519,-1.369673,-0.831360079
373,1781699117995.0,2.296519,-1.369673,-0.831360079
374,1781699118062.0,2.296565,-1.369724,-0.8312832289999998
375,1781699118130.0,2.296565,-1.369724,-0.8312832289999998
376,1781699118196.0,2.296565,-1.369724,-0.8312832289999998
377,1781699118271.0,2.296565,-1.369724,-0.8312832289999998
378,1781699118331.0,2.297906,-1.371221,-0.841642384
379,1781699118398.0,2.297906,-1.371221,-0.841642384
380,1781699118465.0,2.301998,-1.375813,-0.8468133550000001
381,1781699118533.0,2.301998,-1.375813,-0.8468133550000001
382,1781699118599.0,2.308899,-1.383736,-0.8668274899999999
383,1781699118666.0,2.312846,-1.388488,-0.8915028459999998
384,1781699118767.0,2.312843,-1.388504,-0.9118730890000002
385,1781699118873.0,2.312896,-1.388573,-0.9142806210000001
386,1781699118941.0,2.312896,-1.388573,-0.9142806210000001
387,1781699119004.0,2.306781,-1.388962,-0.9123530190000002
388,1781699119071.0,2.306279,-1.388314,-0.9104727929999998
389,1781699119170.0,2.306107,-1.388093,-0.9102092900000001
390,1781699119276.0,2.306107,-1.388093,-0.9102092900000001
391,1781699119344.0,2.306012,-1.38797,-0.9099047530000002
392,1781699119411.0,2.305951,-1.387891,-0.9179909099999999
393,1781699119481.0,2.305951,-1.387891,-0.9179909099999999
394,1781699119541.0,2.307681,-1.390199,-0.9362717979999999
395,1781699119608.0,2.314752,-1.400062,-0.974305787
396,1781699119674.0,2.31845,-1.405794,-1.0256130739999998
397,1781699119743.0,2.31845,-1.405794,-1.0256130739999998
398,1781699119817.0,2.319433,-1.407439,-1.0389650870000002
399,1781699119876.0,2.319433,-1.407439,-1.0389650870000002
400,1781699119943.0,2.311222,-1.360384,-1.0875917529999999
401,1781699120044.0,2.314576,-1.360213,-1.1131757149999997
402,1781699120167.0,2.315633,-1.362331,-1.1061998050000001
403,1781699120246.0,2.315694,-1.362461,-1.1060479829999998
404,1781699120368.0,2.315694,-1.362461,-1.1060479829999998
405,1781699120447.0,2.315694,-1.362461,-1.1060479829999998
406,1781699120568.0,2.315694,-1.362461,-1.1060479829999998
407,1781699120623.0,2.315694,-1.362461,-1.1060479829999998
408,1781699120685.0,2.315953,-1.362974,-1.1210127969999997
409,1781699120751.0,2.315953,-1.362974,-1.1210127969999997
410,1781699120817.0,2.318917,-1.36918,-1.142841418
411,1781699120889.0,2.320486,-1.372651,-1.159103777
412,1781699120985.0,2.324489,-1.378618,-1.227439153
413,1781699121089.0,2.324489,-1.378618,-1.227439153
414,1781699121187.0,2.331916,-1.378337,-1.345018528
415,1781699121293.0,2.331916,-1.378337,-1.345018528
416,1781699121389.0,2.332808,-1.37837,-1.349114099
417,1781699121524.0,2.337371,-1.382075,-1.352769868
418,1781699121650.0,2.337371,-1.382075,-1.352769868
419,1781699121695.0,2.337371,-1.382075,-1.352769868
420,1781699121760.0,2.337371,-1.382075,-1.352769868
421,1781699121833.0,2.337371,-1.382075,-1.352769868
422,1781699121893.0,2.337371,-1.382075,-1.352769868
423,1781699121960.0,2.337371,-1.382075,-1.352769868
424,1781699122026.0,2.337249,-1.381534,-1.353422479
425,1781699122128.0,2.337249,-1.381534,-1.353422479
426,1781699122264.0,2.33998,-1.395645,-1.415379301
427,1781699122376.0,2.340027,-1.395966,-1.417403649
428,1781699122463.0,2.342483,-1.406758,-1.514700844
429,1781699122583.0,2.347756,-1.409522,-1.657414656
430,1781699122638.0,2.347756,-1.409522,-1.657414656
431,1781699122699.0,2.347443,-1.410379,-1.660698678
432,1781699122766.0,2.347384,-1.410807,-1.659813488
433,1781699122834.0,2.347384,-1.410807,-1.659813488
434,1781699122908.0,2.347395,-1.410655,-1.659622253
435,1781699122974.0,2.347395,-1.410655,-1.659622253
436,1781699123035.0,2.347397,-1.410646,-1.659532632
437,1781699123101.0,2.347397,-1.410646,-1.659532632
438,1781699123202.0,2.347397,-1.410646,-1.659532632
439,1781699123309.0,2.347373,-1.410947,-1.679880762
440,1781699123383.0,2.347373,-1.410947,-1.679880762
441,1781699123439.0,2.346603,-1.417795,-1.698001045
442,1781699123505.0,2.346603,-1.417795,-1.698001045
443,1781699123606.0,2.343346,-1.421314,-1.719601263
444,1781699123711.0,2.343346,-1.421314,-1.719601263
445,1781699123779.0,2.343369,-1.421106,-1.71552845
446,1781699123846.0,2.343369,-1.421106,-1.71552845
447,1781699123909.0,2.343369,-1.421106,-1.71552845
448,1781699123976.0,2.343369,-1.421106,-1.71552845
449,1781699124043.0,2.343414,-1.420819,-1.715571774
450,1781699124115.0,2.343414,-1.420819,-1.715571774
451,1781699124178.0,2.343414,-1.420819,-1.715571774
452,1781699124246.0,2.343414,-1.420819,-1.715571774
453,1781699124345.0,2.343414,-1.420819,-1.715571774
454,1781699124442.0,2.343257,-1.421853,-1.746536513
455,1781699124520.0,2.343257,-1.421853,-1.746536513
456,1781699124590.0,2.342282,-1.427039,-1.783112432
457,1781699124654.0,2.342282,-1.427039,-1.783112432
458,1781699124721.0,2.339494,-1.432237,-1.855441131
459,1781699124787.0,2.336388,-1.429133,-1.848223981
460,1781699124855.0,2.336388,-1.429133,-1.848223981
461,1781699124916.0,2.335668,-1.43003,-1.848197918
462,1781699124990.0,2.335621,-1.430174,-1.848034505
463,1781699125060.0,2.335621,-1.430174,-1.848034505
